object_label,context,utterance,filename,topic,object_id,ref_type,plurality,recording_id,segment_id
chandelier,The chandelier hangs above the table in the corner.,"And then I'm thinking this is beautiful here, I think, with the table and everything. Yeah, the chandelier and the table under the cha- chandelier with... It's nice and spacious, which is beautiful.",hsi_4_0717_227_002_13_002_color.png,corner2,Chandelier,exact,single,hsi_4_0717_227_002,13
The lamp,The lamp stands next to the Persian rug.,The lamp? The lamp there?,hsi_6_0718_209_003_151_000_color.png,FloorLamp_4062327b,FloorLamp_4062327b,exact,single,hsi_6_0718_209_003,151
plant,The large houseplant sits prominently in the room.,"Plant Why, why is that plant just, like, sitting there? Your treasure plant.",hsi_6_0718_227_002_54_000_color.png,HousePlant1Large,HousePlant1Large,exact,single,hsi_6_0718_227_002,54
the lamp,The ceiling light is positioned near the entrance.,"Yeah, you can have this. It's a tissue strip. It will be ve, very beautiful because you have this lamp there. Yes, I think it's awesome. It's so, it's strange and, and I like strange. It will be very beautiful because now when you come in you don't see the lamp.",hsi_3_0715_210_011_76_001_color.png,CeilingLight,DeskLamp_3d0b0fb7,exact,single,hsi_3_0715_210_011,76
the dog,The dog is on the wall cabinet.,"Yeah. Eh ff eh, there are so many. I like the vase, I like that. That one is one... definitely one of my favorites. The... Eh. It looks like an absurd painting of some kind. the guy looks like this. Ah and then there's ah the cheetah ah and ah the dog over there.",hsi_5_0718_227_001_8_001_color.png,wall cabinet,Statue_bc9ffa92,exact,single,hsi_5_0718_227_001,8
credit cart,The credit card is in the trash room.,"Because there... Yes. Yes, it's a security thing because because they have uh people coming in to look for the paint. So it's it's good. Ah no, no, no, no, no, no, no, no, no of course not. I wouldn't keep a credit card there.",hsi_7_0719_211_002_77_000_color.png,CreditCard_1f5b07d9,CreditCard_1f5b07d9,exact,single,hsi_7_0719_211_002,77
the table,The gold statue sits on the table.,"have a favorite! But I I like the f- female eh symbol of fertility over... up there. And, I also like that Greek eh thing, over there. Yeah. And, I also like this one. Eh, the woman without hair that's going to eh... Yeah, on the table there, uh because she's eh... You don't know if she's coming up from the sea or is going down to the beach or whatever she is.",hsi_5_0718_227_001_10_000_color.png,GoldStatue_e904d593,DiningTable_d80cf940,exact,single,hsi_5_0718_227_001,10
the chandelier,The chandelier hangs from the ceiling.,"Random things lying around. It looks messy. So when you cleaned the ch- the chandelier, did you use that soft thing?",hsi_4_0717_227_003_26_000_color.png,Chandelier,Chandelier,exact,single,hsi_4_0717_227_003,26
rugs,The Persian rug lies in the living room.,Persian. It's a Persian rug. Do you like Persian rugs?,hsi_6_0718_209_003_137_000_color.png,Rug,Rug,exact,single,hsi_6_0718_209_003,137
the TV,The TV is placed against the wall.,"Ah every every eh... No, I inherited the coach coaches and the armchair. That's from my grandmother's place. Ehm. This I found in an auction. Eh, the lamp is also something I found in an auction. Ehm. Well, the TV's just a TV, so.... Ah.",hsi_5_0718_222_002_78_000_color.png,Television_f9d000b1,Television_f9d000b1,exact,single,hsi_5_0718_222_002,78
the trash can,The trash can sits in the back corner.,"But I was a little bit worried about this situation here. Ah yes, because eh that statue there it doesn't look good because maybe you can move this um couch a little bit back, and then put it in between both couches because... it it doesn't Y- you are not able to see it. Th- this armchair, the black one, you move it a little bit back. And then you move the table a little bit forward. And then you would have an option to actually see the statue, because otherwise eh you don't see it at all. And also the trash can in the back, I wouldn't really put it there. It's it it doesn't look good.",hsi_7_0719_210_002_19_000_color.png,corner5,GarbageCan_43439bc1,exact,single,hsi_7_0719_210_002,19
the TV,The TV stands behind the tennis racquet.,"But how is the green one doing? Okay, well you'll have to... You won't get all of your deposit back then. Yeah. Oh, d- are you playing tennis or what? There's a racket right here, right in the front of the TV.",hsi_4_0717_222_002_17_001_color.png,Tennis_Racquet_4,Television_f9d000b1,exact,single,hsi_4_0717_222_002,17
the lighting on the roof,The lamp is mounted on the roof.,"paint is not uh even visible for... I mean, it's it's not uh really well appreciated there. Mm. Mhm. yeah of course I mean I think that the the lighting on the roof is really nice because it gives kind of a natural uh style so I think that that is good um regarding lamps yeah you might have too many of them so maybe this one I will remove this one I think it it might look nice in the night so uh I think this one you you might be able to keep it",hsi_7_0719_227_003_25_000_color.png,lamp,CeilingLights,exact,single,hsi_7_0719_227_003,25
the walls,The walls surround the room.,"But, what, what would you prefer? would you like to Would you have liked to, to put up something of your own? yeah because maybe i should get something like you know they have in galleries instead like so because i don't want to put, to have a lot of holes in the walls",hsi_5_0718_210_002_39_000_color.png,room,wall,exact,single,hsi_5_0718_210_002,39
the couch,The couch is positioned to form an L-shape with the big chair.,"And then we can put the small table and the other chair... over here somewhere. Mm. Well, there's a small armchair. There's a huge armchair that goes with the couch, and there's a small armchair that looks a bit...",hsi_4_0717_210_003_29_002_color.png,Chair_c6d435d0,Sofa_b5cc7b35,exact,single,hsi_4_0717_210_003,29
that window,The window is located behind the fireplace.,"Look ah, look, look to your left. Yes, it looks like a fireplace. But what what happens if you look through the fireplace? Yeah, so you can actually see I I think it's eh one of my greatest ideas actually because eh have you seen something like that before? No. Need or need but th- that that window is that direction and",hsi_5_0718_222_002_8_000_color.png,fireplace,Window_0dfbe90f,exact,single,hsi_5_0718_222_002,8
the window,The window is located near the armchair.,because then if we have the armchair here we could put that little armchair by the window,hsi_5_0718_210_003_97_002_color.png,Chair_c6d435d0,Window2_debaf983,exact,single,hsi_5_0718_210_003,97
that couch,The couch is positioned near the wall cabinets.,"I think maybe there's one too many because there's one over there as well. So I'm thinking, no, but I think maybe you should get rid of that one, the one in the corner, the white cupboard, and you move that art you divide it into the other ones. So next to the dining room table, it's a free space. And then like the art can be more over here. And also if that couch is like that, it would be like, and I think maybe you should move those white things a bit that way, the white cupboards...",hsi_4_0717_227_002_27_000_color.png,wall cabinet,Sofa_8bd689dc,exact,single,hsi_4_0717_227_002,27
lamp,The lamp stands beside the reading chair.,"Yeah, actually, I have scoliosis, so I like to, I like to sit like this and read. Does that make sense? Uuhh Randomly put what do you what are you talking about? What's random, hold on, hold on what's what's random that is that you call my lamp random you come the plant random.",hsi_6_0718_210_001_41_001_color.png,room,DeskLamp_3d0b0fb7,exact,single,hsi_6_0718_210_001,41
the wall,The wall is between the two rooms., it's such a nice room and then you of course you have this room as well so if we if you could you in some way do you know if the wall is a bearing wall,hsi_5_0718_211_003_16_000_color.png,Wall,Wall,exact,single,hsi_5_0718_211_003,16
that little short chair,The little short chair sits by the bookshelf.,"See, look at this. It has a nice design in the back, right? It's almost like a dream catcher. Yeah, yeah, yeah, yeah, because that's, that's my reading chair, actually, yeah. I mean, I don't read very much, because I'm too busy thinking about how the government's going to get me. But when I do read, that's where I read, in that little short chair.",hsi_6_0718_210_001_36_001_color.png,Chair_c6d435d0,Chair_c6d435d0,exact,single,hsi_6_0718_210_001,36
the lights,The ceiling lights are all functioning properly.,"Okay. Well, maybe you have to pay me a little bit then. Okay. You can have it for hundred bucks. Yeah. Yeah. Cool. And all the lights are working.",hsi_4_0717_209_002_46_000_color.png,CeilingLights,CeilingLights,exact,single,hsi_4_0717_209_002,46
the table,The key chain lies on the table.,Oh God. Why did you leave keys on the table? It's bad luck. Don't put keys on the table. It's very bad luck.,hsi_4_0717_211_002_19_001_color.png,key chain,CoffeeTable_dd16dc6e,exact,single,hsi_4_0717_211_002,19
Couch,The couch is positioned along the wall near the window.,"Yeah. OK... Well, we'll try to change that then. So let's see. Couch, chair, foot piece, other chair.",hsi_4_0717_210_003_4_000_color.png,Sofa_b5cc7b35,Sofa_b5cc7b35,exact,single,hsi_4_0717_210_003,4
that couch,The couch from your mom is in the room.,"if you go if you go to those. Those, those, those big supermarket chains, and you go to buy furniture, the government is going to get you. And you're not going to like it. No, no, no, no, no. So that ottoman there, that's from the dump. This armchair here, this is from the dump. And that couch there, that's from my mom.",hsi_6_0718_210_001_76_000_color.png,Sofa_b5cc7b35,Sofa_b5cc7b35,exact,single,hsi_6_0718_210_001,76
the couch,The couch faces the fireplace.,"Maybe. Oh, the the long. Bureau, I don't even know. I forgot the name of it... but this huge furniture. Uhm. Could maybe... I'm thinking but if yeah, cuz if we would put the couch and chair there facing the fireplace, the desk would be turned that way.",hsi_4_0717_209_003_28_000_color.png,dresser,sofa,exact,single,hsi_4_0717_209_003,28
woden table,The bright wooden table sits next to the couch.,"No, I I like that table more the, the bright. Wooden one. That the other one wouldn't want is so dark. So I think maybe it makes it very dark in here. Yeah. So, keep the couch with a bright. Wooden table next to it and the lamp.",hsi_4_0717_222_003_81_000_color.png,corner4,SideTable_cb8929ce,exact,single,hsi_4_0717_222_003,81
the blue one,The blue garbage can stands behind you.,"It's just, uh, I'm, I'm sure it means something to somebody. But hey, you know, it's just, uh yeah Yeah, just to show off. She's showing off, I'm showing off, right? Yeah, actually those those two cans behind you like the blue one and the red one",hsi_6_0718_222_001_109_001_color.png,garbage can,BlueGarbageCan_97c506a7,exact,single,hsi_6_0718_222_001,109
that book,The book sits on the table.,"That book, that's one thing. That book, it also has, I mean, like knowledge is just, yeah. I mean, you've read the Bible, right? Like, Adam and Eve, they eat the fruit of knowledge from the tree, right? And then Satan kills everybody, right? So that book has also got to go.",hsi_6_0718_209_003_168_000_color.png,Book_7e290dff,Book_7e290dff,exact,single,hsi_6_0718_209_003,168
the table,The low table sits beneath the chandelier.,"on the roof is really nice because it gives kind of a natural uh style so I think that that is good um regarding lamps yeah you might have too many of them so maybe this one I will remove this one I think it it might look nice in the night so uh I think this one you you might be able to keep it And the chandelier, the chandelier uh it's a little bit low, I mean in terms of height because you have a low table now so I think I would just change this whole setup and basically the table and the chairs a little bit upper because this looks like kindergarten style.",hsi_7_0719_227_003_26_003_color.png,Chandelier,DiningTable_d80cf940,exact,single,hsi_7_0719_227_003,26
the green walls,The green walls surround the room with the statue.,"The flowers. If you put this If we change with the man over there. And put him in the hole there. And the vase there. You know, with the black background and the green walls, I think we should have pink flowers.",hsi_3_0715_227_004_47_001_color.png,statue2,wall,exact,single,hsi_3_0715_227_004,47
armchair,The armchair is next to the couch.,"So it is so nice that you came here and I just want to... I just have to brag of it. Ah, you see this couch and and the... What you call this one in Swedish eh or in English, fåtölj? Chair yes this- armchair, yes, this armchair eh is really really amazing because it's a Danish designer who's uh really famous. He's called... his name is eh Jensen.",hsi_5_0718_209_001_2_001_color.png,ArmChair_3e286e7a,ArmChair_3e286e7a,exact,single,hsi_5_0718_209_001,2
gaming laptop,The gaming laptop is set up in the new apartment.,"Except for the fact there's no there's no door to get in here. Yeah. Oh, I see. I see, I see It makes sense. So this is my new apartment, my new my new crib, as the cool people say. Right. I got, uhm,  I got my gaming laptop there.",hsi_6_0718_227_001_11_000_color.png,Laptop_d9d44fbe,Laptop_d9d44fbe,exact,single,hsi_6_0718_227_001,11
a flower,The chair resembling a lotus flower is placed by the window.,"that one we could put that one by the window and then adult armchair even if it looks like a child it looks like something you can sit and meditate on and relax and i like that and I like that flower like it doesn't look, uh, at first i thought it looked like a spider's web or something but now now i think more it looks like a flower a lotus flower so i think you could have it over there and then just place cushions all around it and and then we of course",hsi_5_0718_210_003_103_002_color.png,Chair_c6d435d0,Chair_c6d435d0,exact,single,hsi_5_0718_210_003,103
the desk,The desk holds the laptop away from the statues.,"Yeah, Yeah, I I wouldn't I wouldn't put like the laptop close by to the s- to the statues because, in that case you would be uh moving the laptop or just working there and then... I mean you're really close to the statues and then maybe some ah accident happens and then you break some of uh the statues. So I I wouldn't do that. Maybe you can put it on the desk as well.",hsi_7_0719_209_003_35_001_color.png,Laptop_c535f2bc,Desk_204_1,exact,single,hsi_7_0719_209_003,35
the wall,A large painting hangs in the middle of the wall.,I think that one goes really well there the... it's... it's such a big painting right in the middle of the wall,hsi_4_0717_209_003_45_001_color.png,painting,wall,exact,single,hsi_4_0717_209_003,45
television,The television is absent from the room.,in that direction and maybe find some more stuff in various sizes. I really like it now we're talking. I really like that you're open to get rid of things. you don't need a remote control as you I understood it that you didn't want television,hsi_5_0718_210_003_68_002_color.png,RemoteControl_827d4f47,Television_01800a8c,exact,single,hsi_5_0718_210_003,68
white box,The white box is next to the TV.,"I don't know what's over in that corner. Is that a box? Yeah, but I mean, there's a there's a white white box next to the TV thing.",hsi_4_0717_210_003_61_000_color.png,Box_acb44c64,Box_acb44c64,exact,single,hsi_4_0717_210_003,61
carpet here,The carpet lies on the floor by the window.,"Eh. Oh, it's just standing there because I I didn't move it. Y- you can see I... I usually sit there because then I can watch out eh through the window. And and I like that one because I... I... I like to have a laptop because eh then I can... sit anywhere I want. I like to, sometimes I sit on the carpet here ah and sometimes, oh!",hsi_5_0718_227_001_40_006_color.png,Laptop_d9d44fbe,Rug,exact,single,hsi_5_0718_227_001,40
that sculpture,The green marble statue stands near the velvet couches.,"of cake, really. And the couches, ah as you can see, it's really giving this ah luxurious look, because, I mean, they are in this ah velvet. Ah I especially asked them to be like this, because I really like the soft touch, uh and and I really enjoy it. But ah yeah, I mean, uh also that sculpture there that you can see.",hsi_7_0719_222_002_19_000_color.png,Statue_24d96a63,Statue_24d96a63,exact,single,hsi_7_0719_222_002,19
the laptop,The laptop sits on the desk.,"The desk. Eh I I thought we agreed on that you would take that out, because you do you have a- another room you can have it in? Yeah, be- because it's eh you should never work-... this should be a place for you [smack] to eh contemplate and and have silence, and... But now you want the TV eh and you have the laptop, of course, so so you don't really need a working place like that.",hsi_5_0718_209_003_21_001_color.png,Desk_204_1,Laptop_c535f2bc,exact,single,hsi_5_0718_209_003,21
television stuff,The quintessential hipster television sits on the shelf.,"Yeah, it's it's not. It's it's it's it's brand new. It it just has it's... has a retro feel, right? Because it's a new thing, you know like but like People, they buy eh like record players and stuff, right? Like even if they're brand new, to to have like a more retro hipster feel, that's what that is right there. That is... That is quintessential hipster television stuff.",hsi_6_0718_211_001_66_001_color.png,Television_f5fb6360,Television_f5fb6360,exact,single,hsi_6_0718_211_001,66
a fireplace,The fireplace is set against the wall beneath the windows.,"Yep. But I, I love the windows and how the light shines in on the floor. That's beautiful. I think that's the best part. Yep. Thank you. And I also have a fireplace, but there's no fire in it.",hsi_4_0717_209_001_63_000_color.png,fireplace,fireplace,exact,single,hsi_4_0717_209_001,63
couch,The couch is here in the living room.,"Um, so I start now? Okay, okay. Um, hello. Welcome to my awesome apartment. Uh, you just kind of phased through the wall right there, but um, assuming that you weren't an extra dimensional being, Let me just show you what's here. So you have my couch here.",hsi_6_0718_209_001_13_000_color.png,Sofa_dcb895fb,Sofa_dcb895fb,exact,single,hsi_6_0718_209_001,13
the box,The box sits ready to be thrown off the balcony.,"Maybe some of these ugly [spn] some of the [spn] uglier statues that you're not gonna put here put them in the box, and then put the box, just, just  throw it off, throw it off, off, off your balcony.",hsi_6_0718_227_002_106_001_color.png,statue,Box_c423d56d_2,exact,single,hsi_6_0718_227_002,106
the UV light,"The UV light hangs from the ceiling, looking out of place in the room.","I I know what you... I know it might look a bit strange but actually it's... I used to have the plant over there so it's a UV light, uh,  but, uh then of course when I bought that chair I had to ask the chair actually where it wanted to be. and it wanted to be there so and I haven't moved the lamp yet but it should be and as you see it's I am now taking away the UV light because I have two similar lights up there my god I forgot about those I never use them actually well and now when you tell me when you're noticing it it looks quite off in this room",hsi_5_0718_210_001_106_003_color.png,CeilingLight,CeilingLight,exact,single,hsi_5_0718_210_001,106
that painting,The painting with a black frame hangs above the couch.,"So, if the TV's there, that has to be moved because the TV will be there. Uh, this old black and white one. It's nice with the. That it has a black frame that goes together well with the other furniture with black in them. uh, but there's a TV there, so maybe Just move that along or wait, actually, that one is looks better with a couch. So place that painting above the couch over there, this one goes over there that wall",hsi_4_0717_211_003_52_003_color.png,painting,WallPainting9,exact,single,hsi_4_0717_211_003,52
the bin,The bin is temporarily placed in the trash room.,"But, you know, it's a temporary solution. Because uh because, yeah, the the the bin, it's uh... [breath] [smack] It's hard to find nice bins.",hsi_7_0719_211_002_88_000_color.png,GarbageCan_133fd689,GarbageCan_133fd689,exact,single,hsi_7_0719_211_002,88
that chair,The ceiling light hangs above the chair.,"What I told you in the beginning? I take the pillows. So I sit like when I sat with my grandmother, so I sit on the white one and have the green one like this. I I know what you... I know it might look a bit strange but actually it's... I used to have the plant over there so it's a UV light, uh,  but, uh then of course when I bought that chair I had to ask the chair actually where it wanted to be.",hsi_5_0718_210_001_105_003_color.png,CeilingLight,Chair_c6d435d0,exact,single,hsi_5_0718_210_001,105
lamp pillow,The lamp pillow sits on the reading chair.,"It's so strange. Lighted pillow. Yeah. And so I have to take out the batteries, you know, it's a zip and I take out the batteries and the lights. when you're sitting and reading, you have this lamp pillow.",hsi_3_0715_210_010_33_000_color.png,Pillow_4f745fd7,Pillow_4f745fd7,exact,single,hsi_3_0715_210_010,33
the couch,The couch is positioned on the dirty mat.,The mat is dirty. Oh my God. Do you have something some soap or something? did ct Can you try to take it away? Otherwise we have to to move the the couch.,hsi_3_0715_227_002_69_000_color.png,Rug,Sofa_8bd689dc,exact,single,hsi_3_0715_227_002,69
the couch,The couch is positioned in the corner.,"the same time. God you have two tables as well. Your newspapers. Well maybe in the desk. You have a drawer in your desk. But it is also nice. Hmm, since you have that couch, and if you're having the couch in the corner, you have a lamp there to have somewhere to store newspapers, right? Next to it. So you can have a read in your couch, maybe you should have to get something or you can.",hsi_4_0717_222_003_74_001_color.png,corner4,ArmChair_3ba6dec5,exact,single,hsi_4_0717_222_003,74
this wonderful window,The wonderful window is located behind the sofa.,"Yeah. Yes, I think that eh when when you look at it eh because you have this wonderful window here and this one and eh I think that this is a good placement of the sofa because you can",hsi_5_0718_211_003_1_000_color.png,Window_4c44c73f,Window_4c44c73f,exact,single,hsi_5_0718_211_003,1
the couch,The couch sits on the rug.,"so this is my suggestion. The big couch there, the ch- the big chair there, which makes it like an L, sort of. We move the entire TV and table, or the bureau, and stands on over here. And then, I mean, we would have to pull the rug, I think, so the rug is with the couch.",hsi_4_0717_210_003_24_001_color.png,Rug,Sofa_b5cc7b35,exact,single,hsi_4_0717_210_003,24
The bear,The bear painting hangs on the wall.,"Ah [smack] this, this like drawing thing? Yeah, uh I don't know. Honestly, uh... Like it's it's been a lot of work eh as th- as the new president of France. And some some of these things, thes- they just like pop up and over like that The bear, that thing, they just they just they just they just show up.",hsi_6_0718_211_001_45_000_color.png,Painting_5ebe949b,Teddy_Bear_2,exact,single,hsi_6_0718_211_001,45
the sofa,The sofa sits near the fireplace.,"now it's too bright outside, but I hope you you stay for dinner and th- then i can show you. So w- w- I use the remote control toof and you have a fireplace. Record eh recorded fireplace. Yes, and and eh you see also see that eh th- the armchair and the sofa, ah and eh this one is ehm... eh the two sofas, eh and eh i- if you look closer at them you see that it looks as if it's eh old, and that some [spn] but it's actually the... intended to be like that.",hsi_5_0718_222_002_11_001_color.png,furniture,Sofa_f3c3f4ca,exact,single,hsi_5_0718_222_002,11
the door,The door is situated near the reading area with the floor lamp.,"Okay, let's see. Then we could, eh, if we put, yeah, then we will have two lamps. But with the big screen we could maybe have the lamp to the right and we make this little reading place here. I think it fits if we make it, it's not really, it's a little bit close to the door.",hsi_3_0715_210_011_31_001_color.png,FloorLamp_82e14abb,Door,exact,single,hsi_3_0715_210_011,31
This painting,The painting hangs on the wall near the window.,"uh Yeah, it's looking good pretty far. uhm hm This painting here, was the, was the, the frame always so white?",hsi_6_0718_210_002_4_000_color.png,Painting_0f25d3f4,Painting_0f25d3f4,exact,single,hsi_6_0718_210_002,4
Sherlock Holmes,"The book ""Sherlock Holmes"" is on the bookshelf.","And uh yeah, I mean, I just keep eh books like, and things to read. Uh not because I read much, but just because I like to pretend that I read. No, I mean, Sherlock Holmes is not even a genre that I like.",hsi_7_0719_222_002_26_000_color.png,book,Book_28,exact,single,hsi_7_0719_222_002,26
the mat,The mat lies next to the vacuum cleaner.,"yes it was like one brush, tr- three brushes stick together. So one big, one middle and one small brush that you can use for the lamp. You didn't get the br- the brushes. It was n- next to the vacuum cleaner. See about the mat.",hsi_3_0715_227_003_60_000_color.png,rug,rug,exact,single,hsi_3_0715_227_003,60
the hand,The hand statue is displayed on the shelf.,"stuff out. Y- yes, I went to Picamacho ahm... and eh then I went the eh Inca Trail, ah which was so exciting. Ah, sorry, I just had a text message. And em no, that was really interesting. And, and then, then, of course, I'm also into more modern stuff like the hand there, ah which I really enjoy because it's",hsi_5_0718_209_001_24_000_color.png,Hand_Statue_2,Hand_Statue_2,exact,single,hsi_5_0718_209_001,24
this painting,The painting hangs on the wall beside the statue.,"In a nice pose. Someone thought this would be this will be the place for naked man, I guess. What? Yeah, well, I think she thinks she wishes me more men in my life. And also this painting, though.",hsi_4_0717_210_001_41_000_color.png,Painting_0f25d3f4,Painting_0f25d3f4,exact,single,hsi_4_0717_210_001,41
the window,A house plant sits in the window.,Did you also water the plants? Both. We have one over there. By the TV and also one in the window.,hsi_4_0717_211_002_50_001_color.png,house plant,Window_4c44c73f,exact,single,hsi_4_0717_211_002,50
the couch,The couch is located below the painting.,"think it's, it's okay. I think it's all gets along, but you should have maybe hmm, could have more. It's a little bit empty here, for example. And this painting, you have to change it place with the big screen. So you should put it ah, over, just oh, above the couch, the new sofa.",hsi_3_0715_210_011_68_001_color.png,Painting_0f25d3f4,Sofa_b5cc7b35,exact,single,hsi_3_0715_210_011,68
the furniture,The dresser stands against the gray floor.,"Ah... I mean, I think in this case, you should decide because ah so the flooring is gray. So uh I don't know if the furniture should be gray, same as the floor",hsi_7_0719_209_003_13_000_color.png,Dresser_29dd319f,Dresser_29dd319f,exact,single,hsi_7_0719_209_003,13
tennis rackets,The tennis rackets lie scattered on the surfaces.,"But what you could do? I think it should buy a basket. Yeah, and it has all a basket with handles and you can store it, but it also looks a bit nice. But I know what you mean. It's good to be able to stuff things away, and I don't know, just I, I would Clean up a bit so you don't have tennis rackets and books lying around and watches and stuff. Just so the surfaces are clean.",hsi_4_0717_222_003_59_000_color.png,surfaces,Tennis_Racquet_4,exact,single,hsi_4_0717_222_003,59
this monstrosity,A large tropical plant stands behind the sofa.,"[spn] I think I think I think [spn] you might have you or your dog might eaten it and have replaced it with whatever this monstrosity is, this little baby monstrosity.",hsi_6_0718_210_002_133_000_color.png,TropicalPlantLarge (2),TropicalPlantLarge (2),exact,single,hsi_6_0718_210_002,133
the ceiling,The ceiling spans above the entire room.,"Yeah, so what, let's see, because what if we, hmm, we actually have to, what? yeah and uh We could put small lights in the ceiling.",hsi_5_0718_211_003_54_000_color.png,room,Ceiling,exact,single,hsi_5_0718_211_003,54
the floor,The floor is illuminated by light shining through the window.,"No, I have no plants. Oh, I do. I have one plant. And that one actually cleans the air. Yep. I love the windows and how the light shines in on the floor.",hsi_4_0717_209_001_59_001_color.png,window,Floor_661dfaaa,exact,single,hsi_4_0717_209_001,59
The fireplace,The fireplace stands against the wall.,"And maybe have like flowers or something, on top of the The fireplace.",hsi_4_0717_209_003_53_000_color.png,fireplace,fireplace,exact,single,hsi_4_0717_209_003,53
the plant,The plant sits in the corner near the painting and lamp.,"I mean, that painting is, ah neoclassic and it's uh really abstract. And I really like that cause it gives a little bit of uh, of uh that vibe of uh something ethereum and something really, light. So I think ah it really fits ah and and of course the composition with the lamp and the plant is, there so you get ah in in the night I mean when I turn on the lamp it gives a really nice vibe ah towards that corner because you have uh the light coming to the paint and then of course with the whole setting it gives really cozy environment.",hsi_7_0719_227_002_12_002_color.png,Painting_6fe2c2f8,HousePlant1Large,exact,single,hsi_7_0719_227_002,12
the tv,The laptop is in front of the TV.,"So, no, but I really enjoyed the tapes and, and there has been no complaints from the neighbors. So I'm really happy with you here. yes of course and don't forget your credit card a and the PC of course and is it your watch the one on on the in front of the tv yeah of course",hsi_5_0718_210_002_75_003_color.png,laptop,Television_01800a8c,exact,single,hsi_5_0718_210_002,75
